iter	RMSE
150	2.65464465
151	2.653871422
152	2.653071029
153	2.652589755
154	2.652317175
155	2.651552141
156	2.651203888
157	2.650590358
158	2.650216151
159	2.649438886
160	2.648743561
161	2.64842015
162	2.647871572
163	2.647262708
164	2.646327825
165	2.645744676
166	2.645324229
167	2.644959516
168	2.644374469
169	2.644238802
170	2.643516074
171	2.642816211
172	2.642416992
173	2.641943571
174	2.64175604
175	2.641204556
176	2.64086034
177	2.640608192
178	2.639292182
179	2.638751025
180	2.638423606
181	2.638072446
182	2.637713671
183	2.637225991
184	2.636687742
185	2.636252554
186	2.636066105
187	2.635542101
188	2.635173268
189	2.634601876
190	2.634357128
191	2.634050299
192	2.633795837
193	2.632876109
194	2.632297258
195	2.631920019
196	2.631485581
197	2.630865386
198	2.630595741
199	2.629942748
200	2.629281767
201	2.628723029
202	2.62811724
203	2.627888747
204	2.627514905
205	2.626736244
206	2.626063927
207	2.625598755
208	2.624930401
209	2.624513139
210	2.623687148
211	2.62343898
212	2.623183331
213	2.622581175
214	2.621960412
215	2.621772828
216	2.621129701
217	2.620901754
218	2.620731298
219	2.619623685
220	2.619353079
221	2.619065809
222	2.618872572
223	2.618765688
224	2.618205592
225	2.618013561
226	2.617643362
227	2.617261963
228	2.616990092
229	2.616603037
230	2.616280004
231	2.615823102
232	2.615636959
233	2.615335804
234	2.615132715
235	2.614779012
236	2.614256815
237	2.613744546
238	2.613056505
239	2.612684727
240	2.612246916
241	2.611557978
242	2.611078707
243	2.610937351
244	2.610587034
245	2.610224307
246	2.609982807
247	2.609575806
248	2.609216478
249	2.608933077
250	2.608588126
251	2.608331922
252	2.607747824
253	2.607431877
254	2.607094029
255	2.606548323
256	2.606363489
257	2.606114917
258	2.605680478
259	2.605307813
260	2.604842671
261	2.604201682
262	2.603779989
263	2.603502549
264	2.603495187
265	2.603257299
266	2.602606773
267	2.602440911
268	2.601826475
269	2.600876039
270	2.600690316
271	2.600229394
272	2.599582425
273	2.598923802
274	2.598494307
275	2.598142682
276	2.598023302
277	2.597564566
278	2.597284066
279	2.596962629
280	2.59695454
281	2.596819339
282	2.596331181
283	2.595314872
284	2.594579074
285	2.594308907
286	2.593918008
287	2.593494615
288	2.593225473
289	2.592715431
290	2.592507824
291	2.591814088
292	2.591813743
293	2.591350007
294	2.590921969
295	2.590349874
296	2.589659499
297	2.589280445
298	2.58924479
299	2.588881536
300	2.588469919
301	2.587841161
302	2.586577837
303	2.586119958
304	2.585675388
305	2.585344292
306	2.5851956
307	2.584042697
308	2.583500171
309	2.583217481
310	2.583014776
311	2.582915549
312	2.582577889
313	2.581952873
314	2.581557058
315	2.581187168
316	2.580484532
317	2.58015073
318	2.57958255
319	2.579506877
320	2.578602109
321	2.578507288
322	2.577997108
323	2.577649066
324	2.577048158
325	2.576731882
326	2.576095629
327	2.575592498
328	2.574959048
329	2.574124864
330	2.573539858
331	2.57316867
332	2.57316324
333	2.572924576
334	2.572433316
335	2.571803851
336	2.571220305
337	2.570669132
338	2.570663494
339	2.570309751
340	2.569776562
341	2.569163156
342	2.568490155
343	2.568312177
344	2.568292931
345	2.567926582
346	2.56784379
347	2.567234639
348	2.567229465
349	2.566309888
350	2.566025633
351	2.565308426
352	2.564745493
353	2.564348292
354	2.563849275
355	2.563398052
356	2.5630173
357	2.562087224
358	2.562026279
359	2.561953459
360	2.561641733
361	2.56115983
362	2.560682412
363	2.560311668
364	2.560106055
365	2.559619367
366	2.559315852
367	2.558716309
368	2.55869367
369	2.558354276
370	2.557916744
371	2.557654775
372	2.557649631
373	2.557050468
374	2.556989235
375	2.556102746
376	2.555917435
377	2.555385399
378	2.554924502
379	2.5542446
380	2.553887964
381	2.553415801
382	2.552794388
383	2.552172222
384	2.551961837
385	2.551954873
386	2.551221899
387	2.551111716
388	2.550870366
389	2.550392896
390	2.550235256
391	2.549880764
392	2.549446408
393	2.549149376
394	2.548705622
395	2.54835184
396	2.547851232
397	2.547546214
398	2.546820323
399	2.546386477
400	2.545993565
401	2.545905084
402	2.545002823
403	2.544427679
404	2.544124656
405	2.544000939
406	2.54376503
407	2.543155695
408	2.542931411
409	2.542704612
410	2.542320978
411	2.54212312
412	2.541299615
413	2.541197238
414	2.540941086
415	2.540933929
416	2.540724255
417	2.540248636
418	2.539822801
419	2.539491294
420	2.53908062
421	2.538657749
422	2.538631682
423	2.538142373
424	2.537996712
425	2.537673391
426	2.536944698
427	2.536474328
428	2.536256012
429	2.53606054
430	2.53591997
431	2.535418737
432	2.535399887
433	2.534974433
434	2.534648226
435	2.534333211
436	2.534140077
437	2.533459542
438	2.533396827
439	2.533025709
440	2.532703515
441	2.532160036
442	2.53195162
443	2.531919435
444	2.531876194
445	2.531377315
446	2.53104316
447	2.530775244
448	2.530735555
449	2.530471324
450	2.529717681
451	2.528997029
452	2.528759632
453	2.528558389
454	2.528334126
455	2.528245283
456	2.527613133
457	2.52720177
458	2.52681802
459	2.526501133
460	2.525669572
461	2.524852616
462	2.524777559
463	2.524758875
464	2.524476189
465	2.523880388
466	2.523307392
467	2.522925451
468	2.522657521
469	2.522514119
470	2.522507613
471	2.522320975
472	2.522159917
473	2.521741551
474	2.520826883
475	2.520696311
476	2.520626548
477	2.520547843
478	2.520298312
479	2.520179294
480	2.520162707
481	2.520081066
482	2.519757861
483	2.518670718
484	2.518370605
485	2.518024523
486	2.517567246
487	2.517049902
488	2.516843141
489	2.516645528
490	2.515982711
491	2.515475402
492	2.514944158
493	2.514370175
494	2.514095507
495	2.513565103
496	2.513377009
497	2.513130429
498	2.512945184
499	2.512931336
500	2.512422487
501	2.512386528
502	2.512363977
503	2.511850424
504	2.511711708
505	2.510791735
506	2.510349772
507	2.510253562
508	2.509836887
509	2.509752889
510	2.509705077
511	2.509507953
512	2.509189396
513	2.50858392
514	2.508550466
515	2.508184165
516	2.507705346
517	2.506253439
518	2.50583871
519	2.505210296
520	2.50497516
521	2.504359436
522	2.503706289
523	2.503308224
524	2.502936952
525	2.502819419
526	2.502163988
527	2.501964602
528	2.501855102
529	2.501710317
530	2.501651696
531	2.500838104
532	2.500518968
533	2.500081319
534	2.499551075
535	2.499298667
536	2.498664001
537	2.498113872
538	2.497809861
539	2.497641753
540	2.497490635
541	2.497232106
542	2.497015282
543	2.496795796
544	2.496490253
545	2.495564744
546	2.495528071
547	2.49549075
548	2.495289532
549	2.494962882
550	2.49487985
551	2.494358025
552	2.494277824
553	2.493608237
554	2.493433177
555	2.493288106
556	2.49288668
557	2.492443283
558	2.491907875
559	2.491619197
560	2.491280374
561	2.490953597
562	2.490735325
563	2.490365577
564	2.490100765
565	2.489810184
566	2.489584622
567	2.489268747
568	2.488911335
569	2.488222689
570	2.488140951
571	2.488013401
572	2.487407015
573	2.486538527
574	2.486015435
575	2.485346809
576	2.485255283
577	2.485007593
578	2.484280727
579	2.484145815
580	2.483693256
581	2.483327369
582	2.482801323
583	2.482296836
584	2.481990365
585	2.481477933
586	2.481035017
587	2.481017405
588	2.480679543
589	2.480357182
590	2.480018153
591	2.4796767
592	2.47949223
593	2.479319426
594	2.479031559
595	2.478464992
596	2.477730027
597	2.477390015
598	2.477045435
599	2.476874054
600	2.476740892
601	2.476292077
602	2.476029746
603	2.47581334
604	2.475565631
605	2.475464598
606	2.475424795
607	2.47517434
608	2.475165212
609	2.4751585
610	2.475081724
611	2.474169864
612	2.474074171
613	2.473831906
614	2.473782743
615	2.472881678
616	2.472749256
617	2.471712017
618	2.471599613
619	2.471504037
620	2.4711481
621	2.470861055
622	2.470630534
623	2.470489303
624	2.470301911
625	2.470268092
626	2.47023405
627	2.469885341
628	2.469754693
629	2.469545167
630	2.46931268
631	2.469250055
632	2.469224459
633	2.468341553
634	2.46798367
635	2.467895597
636	2.467572252
637	2.467352205
638	2.466876077
639	2.466199479
640	2.466045654
641	2.465793008
642	2.465474013
643	2.465217622
644	2.465017466
645	2.464063656
646	2.463573076
647	2.463525798
648	2.463250341
649	2.463136598
650	2.462572251
651	2.46193427
652	2.461670822
653	2.461210841
654	2.460991355
655	2.460909892
656	2.460863852
657	2.460685005
658	2.46045287
659	2.460295689
660	2.46024852
661	2.46014446
662	2.460115444
663	2.459637222
664	2.459491261
665	2.459394839
666	2.459237729
667	2.459083271
668	2.459079729
669	2.458390596
670	2.458365266
671	2.458138938
672	2.457977456
673	2.457929595
674	2.457874231
675	2.457803879
676	2.457667255
677	2.45717613
678	2.456983846
679	2.456979592
680	2.456819916
681	2.456713297
682	2.456157675
683	2.455801875
684	2.455709273
685	2.455325
686	2.454750853
687	2.454562371
688	2.45446773
689	2.454314027
690	2.454069726
691	2.454014618
692	2.453776664
693	2.453660721
694	2.453472584
695	2.453278272
696	2.453055473
697	2.452505582
698	2.452444081
699	2.452169337
700	2.452025992
701	2.45192692
702	2.451924114
703	2.451225555
704	2.45108414
705	2.450659386
706	2.450636344
707	2.450530961
708	2.450388233
709	2.450100362
710	2.449931947
711	2.44945907
712	2.449219063
713	2.449150355
714	2.448753912
715	2.44860587
716	2.448538515
717	2.448461119
718	2.44793407
719	2.447810185
720	2.447541636
721	2.447301288
722	2.447183253
723	2.447041429
724	2.446860218
725	2.446834929
726	2.446479192
727	2.446288928
728	2.44621522
729	2.445910753
730	2.445644516
731	2.445609358
732	2.445500412
733	2.445398936
734	2.44520093
735	2.444316931
736	2.443808562
737	2.443639095
738	2.443348211
739	2.443329807
740	2.44320693
741	2.442746774
742	2.442728722
743	2.442589003
744	2.442381036
745	2.442087721
746	2.44203329
747	2.441888536
748	2.441685753
749	2.441441273
750	2.441371617
751	2.440850523
752	2.440374478
753	2.439778294
754	2.439757213
755	2.43942446
756	2.439175371
757	2.439129848
758	2.439043585
759	2.438911846
760	2.438148871
761	2.437688374
762	2.43721186
763	2.43709724
764	2.436833923
765	2.436760142
766	2.436365508
767	2.436124534
768	2.436074527
769	2.435890791
770	2.435721153
771	2.434985116
772	2.434865872
773	2.434720516
774	2.434695176
775	2.434021437
776	2.433597117
777	2.433452883
778	2.433288768
779	2.433245245
780	2.433162766
781	2.432983835
782	2.432601159
783	2.432579423
784	2.432252626
785	2.431723366
786	2.431092432
787	2.430825547
788	2.43038648
789	2.430165576
790	2.429635164
791	2.429328815
792	2.428781881
793	2.428684818
794	2.428372776
795	2.428112693
796	2.428100683
797	2.427865316
798	2.427477646
799	2.427403705
800	2.427286217
801	2.426835572
802	2.426737104
803	2.426313612
804	2.426046807
805	2.425837349
806	2.425737398
807	2.42538064
808	2.42507275
809	2.424991014
810	2.424738816
811	2.424445137
812	2.424313761
813	2.424077369
814	2.424030477
815	2.423950016
816	2.423628451
817	2.423532927
818	2.42311709
819	2.423102524
820	2.42302233
821	2.422589399
822	2.422524377
823	2.422488657
824	2.422218071
825	2.422160086
826	2.422044855
827	2.422010106
828	2.421902787
829	2.421162647
830	2.420992046
831	2.420959642
832	2.420812151
833	2.420744079
834	2.420252426
835	2.419802592
836	2.419801236
837	2.419763835
838	2.419463783
839	2.41921878
840	2.419169395
841	2.418929106
842	2.4188745
843	2.418802618
844	2.418646245
845	2.418637704
846	2.41859959
847	2.418392582
848	2.418125672
849	2.417748005
850	2.417744652
851	2.417341423
852	2.417140547
853	2.416986492
854	2.416758224
855	2.416728248
856	2.416454837
857	2.416217302
858	2.416161975
859	2.416149125
860	2.41587156
861	2.415836237
862	2.415719145
863	2.415606607
864	2.415420384
865	2.415293083
866	2.415165293
867	2.415126009
868	2.414772218
869	2.41366827
870	2.413594735
871	2.413526675
872	2.412842038
873	2.412610496
874	2.412464675
875	2.412302708
876	2.411536719
877	2.411086829
878	2.410994831
879	2.410830229
880	2.410703749
881	2.410374996
882	2.41034592
883	2.410067729
884	2.409752097
885	2.409470127
886	2.40926308
887	2.4091541
888	2.40896671
889	2.408822001
890	2.40861359
891	2.408552921
892	2.40830571
893	2.408232481
894	2.407777039
895	2.407749545
896	2.40732337
897	2.407139731
898	2.406942404
899	2.406926093
900	2.406060486
901	2.405976912
902	2.405863736
903	2.405854593
904	2.405848854
905	2.405757129
906	2.405220137
907	2.404885995
908	2.404868689
909	2.404488653
910	2.403723592
911	2.403686069
912	2.403336801
913	2.403080431
914	2.402587071
915	2.402242637
916	2.401426632
917	2.401186014
918	2.400879219
919	2.400773764
920	2.400197139
921	2.399975568
922	2.399824276
923	2.39954071
924	2.399092362
925	2.398876324
926	2.398875023
927	2.398798606
928	2.398742858
929	2.398659693
930	2.39864895
931	2.397789181
932	2.397659261
933	2.397548775
934	2.397132025
935	2.397092952
936	2.396386313
937	2.396173584
938	2.395838125
939	2.39582801
940	2.395709801
941	2.395636584
942	2.39545307
943	2.395407086
944	2.394881336
945	2.394744698
946	2.394640045
947	2.394581318
948	2.394544885
949	2.393989579
950	2.393658132
951	2.393306977
952	2.393292741
953	2.393234583
954	2.393169595
955	2.393062024
956	2.39303935
957	2.392910264
958	2.392856556
959	2.392643665
960	2.392497463
961	2.392463804
962	2.392148166
963	2.392061662
964	2.392019447
965	2.391804995
966	2.391651857
967	2.391575043
968	2.391039477
969	2.390412432
970	2.390398364
971	2.390390463
972	2.39037823
973	2.389839613
974	2.389748809
975	2.389568281
976	2.389473063
977	2.389412404
978	2.389179458
979	2.389167168
980	2.389045949
981	2.388866027
982	2.388426268
983	2.38795939
984	2.387887413
985	2.387850955
986	2.387820456
987	2.387286321
988	2.387107059
989	2.38708645
990	2.386817144
991	2.386601255
992	2.38612233
993	2.385610515
994	2.385478434
995	2.385174727
996	2.385057336
997	2.384672231
998	2.384610198
999	2.38453178
